team,region
alabama_crimson_tide,North
alabama_state_lady_hornets,North
arkansas_razorbacks,North
belmont_bruins,North
charleston_cougars,North
charlotte_49ers,North
davidson_wildcats,North
elon_phoenix,North
florida_gators,North
florida_gulf_coast_eagles,North
florida_state_seminoles,North
freed_hardeman_lions,North
furman_paladins,North
gardner_webb_runnin_bulldogs,North
georgia_lady_bulldogs,North
georgia_southern_eagles,North
georgia_tech_yellow_jackets,North
high_point_panthers,North
houston_christian_huskies,North
houston_cougars,North
jackson_state_lady_tigers,North
jacksonville_dolphins,North
jacksonville_state_gamecocks,North
little_rock_trojans,North
louisiana_ragin_cajuns,North
louisiana_tech_lady_techsters,North
lsu_tigers,North
memphis_tigers,North
mercer_bears,North
miami_hurricanes,North
middle_tennessee_blue_raiders,North
ole_miss_rebels,North
oral_roberts_golden_eagles,North
rice_owls,North
se_louisiana_lady_lions,North
south_carolina_gamecocks,North
south_carolina_upstate_spartans,North
south_florida_bulls,North
southern_miss_lady_eagles,North
stephen_f_austin_ladyjacks,North
stetson_hatters,North
tennessee_lady_volunteers,North
tennessee_tech_golden_eagles,North
troy_trojans,North
tulane_green_wave,North
tulsa_golden_hurricane,North
ucf_knights,North
wofford_terriers,North
akron_zips,South
app_state_mountaineers,South
austin_peay_governors,South
ball_state_cardinals,South
cleveland_state_vikings,South
coker_cobras,South
dayton_flyers,South
depaul_blue_demons,South
drake_bulldogs,South
eastern_illinois_panthers,South
green_bay_phoenix,South
illinois_state_redbirds,South
indiana_hoosiers,South
iowa_hawkeyes,South
iowa_state_cyclones,South
iu_indianapolis_jaguars,South
kansas_city_roos,South
kansas_jayhawks,South
kent_state_golden_flashes,South
kentucky_wildcats,South
louisville_cardinals,South
loyola_chicago_ramblers,South
marquette_golden_eagles,South
marshall_thundering_herd,South
michigan_state_spartans,South
michigan_wolverines,South
missouri_state_lady_bears,South
missouri_tigers,South
murray_state_racers,South
northern_iowa_panthers,South
northern_kentucky_norse,South
northwestern_wildcats,South
notre_dame_fighting_irish,South
ohio_bobcats,South
ohio_state_buckeyes,South
purdue_boilermakers,South
southern_illinois_salukis,South
toledo_rockets,South
unc_pembroke_braves,South
virginia_tech_hokies,South
western_kentucky_lady_toppers,South
western_michigan_broncos,South
youngstown_state_penguins,South
abilene_christian_wildcats,West
air_force_falcons,West
arizona_wildcats,West
baylor_bears,West
byu_cougars,West
california_baptist_lancers,West
colorado_buffaloes,West
colorado_state_rams,West
creighton_bluejays,West
gonzaga_bulldogs,West
grand_canyon_lopes,West
hawaii_rainbow_wahine,West
idaho_state_bengals,West
kansas_state_wildcats,West
long_beach_state_beach,West
montana_lady_griz,West
montana_state_bobcats,West
nebraska_cornhuskers,West
nevada_wolf_pack,West
new_mexico_lobos,West
north_texas_mean_green,West
northern_arizona_lumberjacks,West
oklahoma_sooners,West
oregon_ducks,West
portland_pilots,West
san_diego_toreros,West
san_francisco_dons,West
santa_clara_broncos,West
south_dakota_coyotes,West
south_dakota_state_jackrabbits,West
southern_utah_thunderbirds,West
stanford_cardinal,West
tarleton_state_texans,West
texas_am_corpus_christi_islanders,West
texas_am_international_dustdevils,West
texas_longhorns,West
texas_state_bobcats,West
uc_davis_aggies,West
uc_irvine_anteaters,West
uc_riverside_highlanders,West
uc_santa_barbara_gauchos,West
ucla_bruins,West
unlv_lady_rebels,West
ut_arlington_mavericks,West
utah_utes,West
utah_valley_wolverines,West
washington_state_cougars,West
wyoming_cowgirls,West